"method","FP","FN","abs_error","covering_metric"
"ecp",1,0,1,0.800701344243133
"nonpar",11,0,11,0.495616598480421
"bp",1,1,0,0.696664844177146
"bcp",43,0,45,0.492493946731235
"ecp",1,0,1,0.797311513734658
"nonpar",8,0,8,0.632946773713946
"bp",1,1,0,0.696664844177146
"bcp",52,0,57,0.496467606526216
"ecp",1,1,0,0.600071598083881
"nonpar",5,0,5,0.600031680658958
"bp",1,1,0,0.696664844177146
"bcp",48,1,49,0.292504544502143
"ecp",1,1,0,0.600071598083881
"nonpar",11,0,11,0.495616598480421
"bp",1,1,0,0.696664844177146
"bcp",48,0,50,0.344767532265589
"ecp",1,0,1,0.806632277081798
"nonpar",9,0,9,0.516934153292335
"bp",1,1,0,0.696664844177146
"bcp",44,0,46,0.494607087827427
"ecp",1,0,1,0.806632277081798
"nonpar",12,0,12,0.465375302663438
"bp",1,1,0,0.696664844177146
"bcp",39,0,40,0.498610474881661
"ecp",1,1,0,0.600071598083881
"nonpar",9,0,9,0.510912875408861
"bp",1,1,0,0.696664844177146
"bcp",45,0,46,0.397070923152871
"ecp",1,1,0,0.605075169970315
"nonpar",10,0,10,0.468497954412624
"bp",1,1,0,0.696664844177146
"bcp",45,0,47,0.489815509224539
"ecp",1,0,1,0.806632277081798
"nonpar",8,0,8,0.548201011002081
"bp",1,1,0,0.696664844177146
"bcp",45,0,46,0.392897497982244
"ecp",1,0,1,0.806632277081798
"nonpar",13,0,13,0.37652463171234
"bp",1,1,0,0.696664844177146
"bcp",51,0,53,0.348157362774063
"ecp",1,1,0,0.600071598083881
"nonpar",7,0,7,0.581254527017239
"bp",1,1,0,0.696664844177146
"bcp",42,0,46,0.488440983356238
"ecp",1,0,1,0.806632277081798
"nonpar",9,0,9,0.504937361827561
"bp",1,1,0,0.69187309865276
"bcp",43,0,44,0.493205339733013
"ecp",1,1,0,0.600071598083881
"nonpar",11,0,11,0.456675587273268
"bp",1,1,0,0.696664844177146
"bcp",53,0,54,0.322765038218677
"ecp",1,0,1,0.806632277081798
"nonpar",9,0,9,0.501547531319086
"bp",1,1,0,0.696664844177146
"bcp",52,0,54,0.500824133105271
"ecp",1,0,1,0.806632277081798
"nonpar",10,0,10,0.475277615429573
"bp",1,1,0,0.696664844177146
"bcp",45,0,46,0.484598378776713
"ecp",1,0,1,0.806632277081798
"nonpar",10,0,10,0.471039056742815
"bp",1,1,0,0.696664844177146
"bcp",54,0,56,0.402459288800266
"ecp",1,1,0,0.600071598083881
"nonpar",12,0,12,0.483794231341064
"bp",1,1,0,0.696664844177146
"bcp",42,0,43,0.495883777239709
"ecp",1,1,0,0.605075169970315
"nonpar",10,0,10,0.534641688968183
"bp",1,1,0,0.696664844177146
"bcp",42,0,45,0.393681092644397
"ecp",1,1,0,0.605075169970315
"nonpar",9,0,9,0.495616598480421
"bp",1,1,0,0.696664844177146
"bcp",43,0,44,0.502000305390136
"ecp",1,0,1,0.806632277081798
"nonpar",9,0,9,0.504937361827561
"bp",1,1,0,0.696664844177146
"bcp",48,0,50,0.406907579149344
"ecp",1,1,0,0.600071598083881
"nonpar",5,0,5,0.605069746512674
"bp",1,1,0,0.696664844177146
"bcp",46,0,47,0.390917812599936
"ecp",1,1,0,0.600071598083881
"nonpar",10,0,10,0.500743383883437
"bp",1,1,0,0.696664844177146
"bcp",44,0,45,0.510483364720653
"ecp",1,1,0,0.605075169970315
"nonpar",12,0,12,0.449895926256319
"bp",1,1,0,0.696664844177146
"bcp",46,0,49,0.430508474576271
