rep,abs_error,precision,recall,cover_rate,avg_dist,FP,FN,f1_score,est_CP,best_penalty,num_detected,method,model_result
1,0,0,0,1.0,0.0,0,0,0.7907844144592479,"[np.int64(100), np.int64(200)]",0.05,2,cpd_nn,"(0, 0, 0, 1.0, 0.7907844144592479, [100, 200], <Figure size 1600x400 with 1 Axes>)"
2,0,0,0,1.0,0.0,0,0,0.8258349012743537,"[np.int64(100), np.int64(200)]",0.05,2,cpd_nn,"(0, 0, 0, 1.0, 0.8258349012743537, [100, 200], <Figure size 1600x400 with 1 Axes>)"
3,0,0,0,1.0,0.0,0,0,0.7254320692473744,"[np.int64(100), np.int64(200)]",0.1,2,cpd_nn,"(0, 0, 0, 1.0, 0.7254320692473744, [100, 200], <Figure size 1600x400 with 1 Axes>)"
4,0,0,0,1.0,0.0,0,0,1.1669708631523972,"[np.int64(100), np.int64(200)]",0.01,2,cpd_nn,"(0, 0, 0, 1.0, 1.1669708631523972, [100, 200], <Figure size 1600x400 with 1 Axes>)"
5,1,0,74,1.0,0.0,1,0,0.7579008210326064,"[np.int64(26), np.int64(100), np.int64(200)]",0.05,3,cpd_nn,"(1, 0, 74, 0.9155405405405406, 0.7579008210326064, [26, 100, 200], <Figure size 1600x400 with 1 Axes>)"
6,1,0,74,1.0,0.0,1,0,0.7008737096225122,"[np.int64(26), np.int64(100), np.int64(200)]",0.1,3,cpd_nn,"(1, 0, 74, 0.9155405405405406, 0.7008737096225122, [26, 100, 200], <Figure size 1600x400 with 1 Axes>)"
7,0,0,0,1.0,0.0,0,0,0.8578073822039491,"[np.int64(100), np.int64(200)]",0.05,2,cpd_nn,"(0, 0, 0, 1.0, 0.8578073822039491, [100, 200], <Figure size 1600x400 with 1 Axes>)"
8,1,0,70,1.0,0.0,1,0,0.9192985907675322,"[np.int64(100), np.int64(200), np.int64(270)]",0.01,3,cpd_nn,"(1, 0, 70, 0.9087837837837838, 0.9192985907675322, [100, 200, 270], <Figure size 1600x400 with 1 Axes>)"
9,1,0,74,1.0,0.0,1,0,0.7980395449313746,"[np.int64(26), np.int64(100), np.int64(200)]",0.05,3,cpd_nn,"(1, 0, 74, 0.9155405405405406, 0.7980395449313746, [26, 100, 200], <Figure size 1600x400 with 1 Axes>)"
10,1,0,73,1.0,0.0,1,0,1.176607572958634,"[np.int64(27), np.int64(100), np.int64(200)]",0.01,3,cpd_nn,"(1, 0, 73, 0.9121621621621622, 1.176607572958634, [27, 100, 200], <Figure size 1600x400 with 1 Axes>)"
11,1,0,73,1.0,0.0,1,0,0.6587059638009185,"[np.int64(27), np.int64(100), np.int64(200)]",0.1,3,cpd_nn,"(1, 0, 73, 0.9121621621621622, 0.6587059638009185, [27, 100, 200], <Figure size 1600x400 with 1 Axes>)"
12,1,0,74,1.0,0.0,1,0,0.7825806420283775,"[np.int64(26), np.int64(100), np.int64(200)]",0.05,3,cpd_nn,"(1, 0, 74, 0.9155405405405406, 0.7825806420283775, [26, 100, 200], <Figure size 1600x400 with 1 Axes>)"
13,0,0,0,1.0,0.0,0,0,0.8253360569043765,"[np.int64(100), np.int64(200)]",0.05,2,cpd_nn,"(0, 0, 0, 1.0, 0.8253360569043765, [100, 200], <Figure size 1600x400 with 1 Axes>)"
14,2,0,74,1.0,0.0,2,0,0.8078651278887529,"[np.int64(26), np.int64(100), np.int64(163), np.int64(200)]",0.05,4,cpd_nn,"(2, 0, 74, 0.7905405405405406, 0.8078651278887529, [26, 100, 163, 200], <Figure size 1600x400 with 1 Axes>)"
15,0,0,0,1.0,0.0,0,0,1.2297096593187773,"[np.int64(100), np.int64(200)]",0.01,2,cpd_nn,"(0, 0, 0, 1.0, 1.2297096593187773, [100, 200], <Figure size 1600x400 with 1 Axes>)"
16,1,0,74,1.0,0.0,1,0,0.8946498096745101,"[np.int64(26), np.int64(100), np.int64(200)]",0.05,3,cpd_nn,"(1, 0, 74, 0.9155405405405406, 0.8946498096745101, [26, 100, 200], <Figure size 1600x400 with 1 Axes>)"
