time,delta_mu
2017-05-31 21:00:00,0.110441916
2017-05-31 22:00:00,0.042972926
2017-05-31 23:00:00,0.09241282
2017-06-01 00:00:00,0.15555918
2017-06-01 01:00:00,0.11797857
2017-06-01 02:00:00,0.14017497
2017-06-01 03:00:00,0.08510145
2017-06-01 04:00:00,0.2026855
2017-06-01 05:00:00,0.15143049
2017-06-01 06:00:00,0.4024312
2017-06-01 07:00:00,0.23181817
2017-06-01 08:00:00,0.13624845
2017-06-01 13:00:00,0.24684343
2017-06-01 14:00:00,0.12204045
2017-06-01 15:00:00,0.13025515
2017-06-01 16:00:00,0.03356929
2017-06-01 17:00:00,0.12799777
2017-06-01 18:00:00,0.13277441
2017-06-01 19:00:00,0.083385475
2017-06-01 20:00:00,0.1033911
2017-06-01 21:00:00,0.11254486
2017-06-01 22:00:00,0.105237044
2017-06-01 23:00:00,0.13100311
2017-06-02 00:00:00,0.15624234
2017-06-02 01:00:00,0.11776545
2017-06-02 02:00:00,0.12370097
2017-06-02 03:00:00,0.13206278
2017-06-02 04:00:00,0.06919253
2017-06-02 05:00:00,0.07478358
2017-06-02 06:00:00,0.15267341
2017-06-02 07:00:00,0.10064117
2017-06-02 08:00:00,0.10914482
2017-06-02 09:00:00,0.10790513
2017-06-02 10:00:00,0.22475827
2017-06-02 11:00:00,0.13405564
2017-06-02 12:00:00,0.15915792
2017-06-02 13:00:00,0.1477514
2017-06-02 14:00:00,0.10330248
2017-06-02 15:00:00,0.07686518
2017-06-02 16:00:00,0.13855083
2017-06-02 17:00:00,0.107711196
2017-06-02 18:00:00,0.120946355
2017-06-02 19:00:00,0.11593339
2017-06-02 20:00:00,0.11163009
2017-06-02 21:00:00,0.10937591
2017-06-02 22:00:00,0.10484134
2017-06-02 23:00:00,0.08036102
2017-06-03 00:00:00,0.07405747
2017-06-03 01:00:00,0.12737018
2017-06-03 02:00:00,0.101517625
2017-06-03 03:00:00,0.12016714
2017-06-03 04:00:00,0.17317776
2017-06-03 05:00:00,0.19166297
2017-06-03 06:00:00,0.07941611
2017-06-03 07:00:00,0.06578126
2017-06-03 08:00:00,0.07111335
2017-06-03 09:00:00,0.08982399
2017-06-03 10:00:00,0.11806341
2017-06-03 11:00:00,0.08950443
2017-06-03 12:00:00,0.13250217
2017-06-03 13:00:00,0.1427452
2017-06-03 14:00:00,0.095512785
2017-06-03 15:00:00,0.0756876
2017-06-03 16:00:00,0.102676444
2017-06-03 17:00:00,0.1853134
2017-06-03 18:00:00,0.11442887
2017-06-03 19:00:00,0.09114169
2017-06-03 20:00:00,0.120966814
2017-06-03 21:00:00,0.111206815
2017-06-03 22:00:00,0.0878909
2017-06-03 23:00:00,0.0739491
2017-06-04 00:00:00,0.07831855
2017-06-04 01:00:00,0.0736929
2017-06-04 02:00:00,0.089153945
2017-06-04 03:00:00,0.074665464
2017-06-04 04:00:00,0.09626314
2017-06-04 05:00:00,0.13214533
2017-06-04 06:00:00,0.14014688
2017-06-04 07:00:00,0.103797235
2017-06-04 08:00:00,0.081038035
2017-06-04 09:00:00,0.113493845
2017-06-04 10:00:00,0.05392481
2017-06-04 11:00:00,0.1419327
2017-06-04 12:00:00,0.094821244
2017-06-04 13:00:00,0.07521468
2017-06-04 14:00:00,0.052257586
2017-06-04 15:00:00,0.18013968
2017-06-04 16:00:00,0.07211603
2017-06-04 17:00:00,0.08446139
2017-06-04 18:00:00,0.09495809
2017-06-04 19:00:00,0.1507705
2017-06-05 00:00:00,0.13210739
2017-06-05 01:00:00,0.09243812
2017-06-05 02:00:00,0.13866203
2017-06-05 03:00:00,0.119054854
2017-06-05 04:00:00,0.10827279
2017-06-05 05:00:00,0.1356053
2017-06-05 06:00:00,0.13173042
2017-06-05 07:00:00,0.12368459
2017-06-05 08:00:00,0.18570651
2017-06-05 09:00:00,0.12465285
2017-06-05 10:00:00,0.08905893
2017-06-05 11:00:00,0.087653935
2017-06-05 12:00:00,0.10325975
2017-06-05 13:00:00,0.13642801
2017-06-05 14:00:00,0.072749764
2017-06-05 15:00:00,0.0755768
2017-06-05 16:00:00,0.15423511
2017-06-05 17:00:00,0.041600194
2017-06-05 18:00:00,0.090120174
2017-06-05 19:00:00,0.1270045
2017-06-05 20:00:00,0.09560803
2017-06-05 21:00:00,0.12876418
2017-06-05 22:00:00,0.07709416
2017-06-05 23:00:00,0.06245285
2017-06-06 00:00:00,0.14279775
2017-06-06 01:00:00,0.17879485
2017-06-06 02:00:00,0.104698025
2017-06-06 03:00:00,0.10114623
2017-06-06 04:00:00,0.19233201
2017-06-06 05:00:00,0.14271815
2017-06-06 06:00:00,0.08991575
2017-06-06 07:00:00,0.083613314
2017-06-06 08:00:00,0.12952675
2017-06-06 09:00:00,0.13363059
2017-06-06 10:00:00,0.15116313
2017-06-06 11:00:00,0.19626561
2017-06-06 12:00:00,0.0897459
2017-06-06 13:00:00,0.08496586
2017-06-06 14:00:00,0.09989451
2017-06-06 15:00:00,0.16838087
2017-06-06 16:00:00,0.10740821
2017-06-06 17:00:00,0.1220136
2017-06-06 18:00:00,0.110562615
2017-06-06 19:00:00,0.10906539
2017-06-06 20:00:00,0.16055304
2017-06-06 21:00:00,0.0940242
2017-06-06 22:00:00,0.061290048
2017-06-06 23:00:00,0.11333907
2017-06-07 00:00:00,0.097289085
2017-06-07 01:00:00,0.07887288
2017-06-07 02:00:00,0.034354664
2017-06-07 03:00:00,0.07315192
2017-06-07 04:00:00,0.115503125
2017-06-07 05:00:00,0.17628618
2017-06-07 06:00:00,0.1334557
2017-06-07 07:00:00,0.1231037
2017-06-07 08:00:00,0.1729411
2017-06-07 09:00:00,0.08914453
2017-06-07 10:00:00,0.15177192
2017-06-07 11:00:00,0.13922153
2017-06-07 12:00:00,0.16744933
2017-06-07 13:00:00,0.09132043
2017-06-07 14:00:00,0.096510336
2017-06-07 15:00:00,0.10108937
2017-06-07 16:00:00,0.124795854
2017-06-07 17:00:00,0.09638549
2017-06-07 18:00:00,0.11472602
2017-06-07 19:00:00,0.1390257
2017-06-07 20:00:00,0.11367738
2017-06-07 21:00:00,0.11894222
2017-06-07 22:00:00,0.080741264
2017-06-07 23:00:00,0.081909806
2017-06-08 00:00:00,0.12794062
2017-06-08 01:00:00,0.08585431
2017-06-08 02:00:00,0.13924707
2017-06-08 03:00:00,0.09134837
2017-06-08 06:00:00,0.14672235
2017-06-08 07:00:00,0.1057532
2017-06-08 08:00:00,0.120656945
2017-06-08 09:00:00,0.053573545
2017-06-08 10:00:00,0.046486937
2017-06-08 11:00:00,0.3150904
2017-06-08 12:00:00,0.099817775
2017-06-08 13:00:00,0.11082724
2017-06-08 14:00:00,0.16648954
2017-06-08 15:00:00,0.15317085
2017-06-08 16:00:00,0.29622573
2017-06-08 17:00:00,0.1912639
2017-06-08 18:00:00,0.09634509
2017-06-08 19:00:00,0.061758883
2017-06-08 20:00:00,0.12589417
2017-06-08 21:00:00,0.08983275
