abs_error,dist_est_gt,dist_gt_est,covering_metric,est_CP,rep,method
0,0,0,1.0,"[51, 101, 151]",0,Allen
1,50,0,0.75,"[51, 151]",1,Allen
2,100,0,0.5,[151],2,Allen
1,50,20,0.5785714285714286,"[101, 171]",3,Allen
0,50,40,0.7,"[11, 51, 151]",4,Allen
0,0,0,1.0,"[51, 101, 151]",5,Allen
4,8,35,0.5948154869933454,"[59, 72, 85, 101, 158, 174, 186]",6,Allen
1,50,0,0.75,"[101, 151]",7,Allen
0,0,0,1.0,"[51, 101, 151]",8,Allen
1,50,0,0.75,"[51, 151]",9,Allen
0,0,0,1.0,"[51, 101, 151]",10,Allen
0,0,0,1.0,"[51, 101, 151]",11,Allen
0,0,0,1.0,"[51, 101, 151]",12,Allen
1,50,0,0.75,"[51, 151]",13,Allen
0,0,0,1.0,"[51, 101, 151]",14,Allen
0,50,43,0.715,"[8, 51, 151]",15,Allen
1,50,0,0.75,"[51, 151]",16,Allen
0,0,0,1.0,"[51, 101, 151]",17,Allen
0,0,0,1.0,"[51, 101, 151]",18,Allen
0,0,0,1.0,"[51, 101, 151]",19,Allen
1,0,15,0.925,"[51, 101, 151, 166]",0,ruptures
4,0,40,0.875,"[11, 51, 101, 151, 156, 161, 166]",1,ruptures
3,0,35,0.825,"[51, 101, 151, 161, 171, 186]",2,ruptures
3,5,40,0.8,"[11, 31, 56, 101, 106, 151]",3,ruptures
2,0,25,0.875,"[51, 101, 151, 166, 176]",4,ruptures
1,0,5,0.975,"[46, 51, 101, 151]",5,ruptures
1,0,35,0.925,"[16, 51, 101, 151]",6,ruptures
0,0,0,1.0,"[51, 101, 151]",7,ruptures
2,0,5,0.95,"[46, 51, 101, 151, 156]",8,ruptures
2,5,40,0.8272727272727272,"[51, 81, 96, 151, 191]",9,ruptures
2,0,20,0.85,"[51, 66, 81, 101, 151]",10,ruptures
2,0,5,0.95,"[51, 56, 96, 101, 151]",11,ruptures
1,0,25,0.875,"[51, 76, 101, 151]",12,ruptures
5,0,45,0.8,"[6, 16, 26, 36, 46, 51, 101, 151]",13,ruptures
0,0,0,1.0,"[51, 101, 151]",14,ruptures
0,0,0,1.0,"[51, 101, 151]",15,ruptures
0,0,0,1.0,"[51, 101, 151]",16,ruptures
3,0,20,0.875,"[51, 81, 91, 101, 146, 151]",17,ruptures
0,0,0,1.0,"[51, 101, 151]",18,ruptures
4,0,25,0.85,"[51, 101, 121, 126, 136, 141, 151]",19,ruptures
