K_dim,rep,best_penalty,num_detected,est_CP,true_CP,CE
10,1,0.05,1,[np.int64(200)],"[100, 200]",1
10,2,0.05,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
10,3,0.01,3,"[np.int64(25), np.int64(200), np.int64(276)]","[100, 200]",1
10,4,0.01,1,[np.int64(200)],"[100, 200]",1
10,5,0.1,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
10,6,0.1,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
10,7,0.1,1,[np.int64(200)],"[100, 200]",1
10,8,0.05,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
10,9,0.01,1,[np.int64(200)],"[100, 200]",1
10,10,0.1,2,"[np.int64(24), np.int64(200)]","[100, 200]",0
