kappa,rep,best_penalty,num_detected,est_CP,true_CP,CE
0.5,1,0.05,1,[200],"[100, 200]",1
0.5,2,0.05,2,"[37, 200]","[100, 200]",0
0.5,3,0.01,3,"[100, 200, 270]","[100, 200]",1
0.5,4,0.05,3,"[26, 111, 200]","[100, 200]",1
0.5,5,0.05,3,"[100, 171, 200]","[100, 200]",1
0.5,6,0.1,2,"[72, 200]","[100, 200]",0
0.5,7,0.01,2,"[100, 200]","[100, 200]",0
0.5,8,0.01,1,[199],"[100, 200]",1
0.5,9,0.05,3,"[45, 102, 200]","[100, 200]",1
0.5,10,0.05,2,"[146, 200]","[100, 200]",0
0.8,1,0.05,4,"[26, 100, 139, 200]","[100, 200]",2
0.8,2,0.01,3,"[100, 200, 265]","[100, 200]",1
0.8,3,0.05,3,"[26, 100, 200]","[100, 200]",1
0.8,4,0.05,3,"[26, 102, 200]","[100, 200]",1
0.8,5,0.1,3,"[26, 100, 200]","[100, 200]",1
0.8,6,0.1,3,"[26, 100, 200]","[100, 200]",1
0.8,7,0.05,2,"[100, 200]","[100, 200]",0
0.8,8,0.05,3,"[100, 163, 200]","[100, 200]",1
0.8,9,0.1,3,"[26, 100, 200]","[100, 200]",1
0.8,10,0.1,3,"[27, 100, 200]","[100, 200]",1
2.0,1,0.1,3,"[26, 100, 200]","[100, 200]",1
2.0,2,0.01,1,[200],"[100, 200]",1
2.0,3,0.1,2,"[26, 200]","[100, 200]",0
2.0,4,0.05,3,"[26, 102, 200]","[100, 200]",1
2.0,5,0.1,3,"[26, 100, 200]","[100, 200]",1
2.0,6,0.05,2,"[26, 200]","[100, 200]",0
2.0,7,0.1,3,"[26, 100, 200]","[100, 200]",1
2.0,8,0.01,4,"[100, 163, 200, 262]","[100, 200]",2
2.0,9,0.05,3,"[26, 100, 200]","[100, 200]",1
2.0,10,0.1,2,"[26, 200]","[100, 200]",0
