sigma,rep,best_penalty,num_detected,est_CP,true_CP,CE
0.3,1,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.3,2,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.3,3,0.01,3,"[np.int64(100), np.int64(200), np.int64(275)]","[100, 200]",1
0.3,4,0.05,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.3,5,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.3,6,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.3,7,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.3,8,0.1,3,"[np.int64(29), np.int64(100), np.int64(200)]","[100, 200]",1
0.3,9,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.3,10,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.425,1,0.05,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.425,2,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.425,3,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.425,4,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.425,5,0.01,3,"[np.int64(100), np.int64(200), np.int64(275)]","[100, 200]",1
0.425,6,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.425,7,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.425,8,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.425,9,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.425,10,0.05,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.55,1,0.05,3,"[np.int64(26), np.int64(102), np.int64(200)]","[100, 200]",1
0.55,2,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.55,3,0.05,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.55,4,0.05,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
0.55,5,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.55,6,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.55,7,0.05,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.55,8,0.05,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.55,9,0.05,4,"[np.int64(26), np.int64(100), np.int64(200), np.int64(247)]","[100, 200]",2
0.55,10,0.05,3,"[np.int64(26), np.int64(102), np.int64(200)]","[100, 200]",1
0.675,1,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.675,2,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.675,3,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.675,4,0.05,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
0.675,5,0.01,2,"[np.int64(21), np.int64(200)]","[100, 200]",0
0.675,6,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.675,7,0.05,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
0.675,8,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.675,9,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
0.675,10,0.1,1,[np.int64(200)],"[100, 200]",1
0.8,1,0.05,3,"[np.int64(28), np.int64(102), np.int64(200)]","[100, 200]",1
0.8,2,0.1,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
0.8,3,0.01,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
0.8,4,0.01,3,"[np.int64(26), np.int64(200), np.int64(276)]","[100, 200]",1
0.8,5,0.05,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
0.8,6,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.8,7,0.1,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
0.8,8,0.05,3,"[np.int64(29), np.int64(96), np.int64(200)]","[100, 200]",1
0.8,9,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
0.8,10,0.1,2,"[np.int64(29), np.int64(200)]","[100, 200]",0
