z_dim,rep,best_penalty,num_detected,est_CP,true_CP,CE
2,1,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
2,2,0.01,2,"[np.int64(26), np.int64(200)]","[100, 200]",0
2,3,0.05,3,"[np.int64(27), np.int64(100), np.int64(200)]","[100, 200]",1
2,4,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
2,5,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
2,6,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
2,7,0.05,3,"[np.int64(25), np.int64(100), np.int64(200)]","[100, 200]",1
2,8,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
2,9,0.05,6,"[np.int64(21), np.int64(100), np.int64(121), np.int64(148), np.int64(170), np.int64(200)]","[100, 200]",4
2,10,0.1,3,"[np.int64(27), np.int64(100), np.int64(200)]","[100, 200]",1
5,1,0.1,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
5,2,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
5,3,0.05,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
5,4,0.05,3,"[np.int64(100), np.int64(147), np.int64(200)]","[100, 200]",1
5,5,0.01,4,"[np.int64(26), np.int64(100), np.int64(200), np.int64(255)]","[100, 200]",2
5,6,0.01,3,"[np.int64(100), np.int64(200), np.int64(274)]","[100, 200]",1
5,7,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
5,8,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
5,9,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
5,10,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
10,1,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
10,2,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
10,3,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
10,4,0.05,3,"[np.int64(26), np.int64(100), np.int64(200)]","[100, 200]",1
10,5,1.0,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
10,6,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
10,7,0.05,3,"[np.int64(27), np.int64(100), np.int64(200)]","[100, 200]",1
10,8,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
10,9,0.05,5,"[np.int64(26), np.int64(100), np.int64(148), np.int64(200), np.int64(269)]","[100, 200]",3
10,10,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
